"","Graph_Name","n_nodes","n_TS_edges","n_netw_edges","n_comps","n_isolated"
"1","GraphInfo 1 1275899703700291584 .txt","50","10","106","11","10"
"2","GraphInfo 10 1254478882683699200 .txt","41","2","84","3","2"
"3","GraphInfo 100 1271963436969349120 .txt","63","40","22","41","33"
"4","GraphInfo 101 1228995197800984576 .txt","27","3","36","4","3"
"5","GraphInfo 102 1237301973319376896 .txt","51","2","200","3","2"
"6","GraphInfo 103 1246333065779167232 .txt","58","3","63","4","3"
"7","GraphInfo 105 1248530581375160320 .txt","21","1","38","2","1"
"8","GraphInfo 106 1240414339733114880 .txt","64","49","14","50","48"
"9","GraphInfo 107 1254327045019951104 .txt","29","17","12","18","16"
"10","GraphInfo 108 1254381115307102208 .txt","65","40","89","41","38"
"11","GraphInfo 109 1252665096859459584 .txt","45","8","55","9","8"
"12","GraphInfo 11 1261720246592757760 .txt","60","14","82","15","14"
"13","GraphInfo 110 1247848924980957184 .txt","54","28","36","29","26"
"14","GraphInfo 111 1246987975298134016 .txt","17","4","12","5","4"
"15","GraphInfo 112 1235975325923844096 .txt","78","30","57","31","26"
"16","GraphInfo 113 1238403140707397632 .txt","33","3","99","4","3"
"17","GraphInfo 114 1235462250376253440 .txt","39","6","35","7","6"
"18","GraphInfo 115 1235641456267800576 .txt","23","5","21","6","5"
"19","GraphInfo 116 1224000504843264000 .txt","35","11","28","12","11"
"20","GraphInfo 117 1223343688400527360 .txt","43","20","40","21","18"
"21","GraphInfo 118 1221791160521363456 .txt","34","10","24","11","8"
"22","GraphInfo 119 1252262834332930048 .txt","67","14","61","15","14"
"23","GraphInfo 12 1250524724905426944 .txt","47","15","46","16","15"
"24","GraphInfo 120 1251909895089250304 .txt","49","7","41","8","7"
"25","GraphInfo 121 1247178073700814848 .txt","24","1","31","2","1"
"26","GraphInfo 122 1234860117532774400 .txt","51","28","23","29","28"
"27","GraphInfo 123 1227587755435274240 .txt","37","3","83","4","3"
"28","GraphInfo 124 717454137160503296 .txt","33","0","313","1","0"
"29","GraphInfo 125 1252330402687053824 .txt","48","9","54","10","9"
"30","GraphInfo 126 1219478544041930752 .txt","63","27","46","28","26"
"31","GraphInfo 127 1241427318633086976 .txt","29","11","29","12","10"
"32","GraphInfo 128 1242526600962269184 .txt","72","6","90","7","6"
"33","GraphInfo 129 1247947316532830208 .txt","38","6","48","7","5"
"34","GraphInfo 13 1226922738935353344 .txt","59","15","44","16","15"
"35","GraphInfo 130 1241925826171539456 .txt","28","2","32","3","2"
"36","GraphInfo 14 1260637443344171008 .txt","43","21","23","22","20"
"37","GraphInfo 15 1224506134100230144 .txt","30","11","23","12","11"
"38","GraphInfo 16 1258760406241284096 .txt","97","2","640","3","2"
"39","GraphInfo 17 1258718211069050880 .txt","93","21","175","22","17"
"40","GraphInfo 18 1257306810274295808 .txt","56","15","45","16","15"
"41","GraphInfo 19 1256642160180559872 .txt","46","42","3","43","41"
"42","GraphInfo 2 1273522187320938496 .txt","28","12","34","13","12"
"43","GraphInfo 20 1253832179274125312 .txt","19","1","37","2","1"
"44","GraphInfo 21 1255089835867586560 .txt","51","6","153","7","6"
"45","GraphInfo 22 1254748323883495424 .txt","34","1","80","2","1"
"46","GraphInfo 23 1250324245474754560 .txt","69","8","282","9","7"
"47","GraphInfo 24 1250581802667798528 .txt","72","15","146","16","15"
"48","GraphInfo 25 1251260127757434880 .txt","63","45","21","46","42"
"49","GraphInfo 26 1234621752166117376 .txt","81","29","60","30","28"
"50","GraphInfo 27 1188412233270714368 .txt","27","19","7","20","18"
"51","GraphInfo 28 1250845683587956736 .txt","35","4","64","5","4"
"52","GraphInfo 29 1240284196729487360 .txt","40","8","33","9","8"
"53","GraphInfo 3 1252441490065731584 .txt","57","6","161","7","6"
"54","GraphInfo 30 1248807066476728320 .txt","51","7","49","8","7"
"55","GraphInfo 31 1245808333820485632 .txt","22","2","31","3","2"
"56","GraphInfo 32 1247189046453035008 .txt","53","20","40","21","20"
"57","GraphInfo 33 1247030383327064064 .txt","25","0","34","1","0"
"58","GraphInfo 34 1246859356861345792 .txt","71","14","100","15","14"
"59","GraphInfo 35 1243108863676579840 .txt","27","4","23","5","4"
"60","GraphInfo 36 1105393223462207488 .txt","35","6","30","7","6"
"61","GraphInfo 37 1243481300163538944 .txt","39","5","71","6","5"
"62","GraphInfo 38 1244281632145707008 .txt","65","4","116","5","3"
"63","GraphInfo 39 1244736805716590592 .txt","18","3","19","4","3"
"64","GraphInfo 4 1270110222074298368 .txt","25","19","6","20","18"
"65","GraphInfo 40 1238844904962428928 .txt","31","5","26","6","5"
"66","GraphInfo 42 1240190243736662016 .txt","87","2","402","3","2"
"67","GraphInfo 44 1239588747907403776 .txt","75","7","209","8","7"
"68","GraphInfo 46 1239604975933755392 .txt","50","7","106","8","7"
"69","GraphInfo 48 1239280325588660224 .txt","53","1","220","2","1"
"70","GraphInfo 49 1237656478808444928 .txt","27","13","18","14","13"
"71","GraphInfo 5 1256868393443098624 .txt","54","3","191","4","3"
"72","GraphInfo 50 1238070348677070848 .txt","21","7","21","8","6"
"73","GraphInfo 51 1222774654596734976 .txt","49","4","92","5","4"
"74","GraphInfo 52 1236369807110529024 .txt","39","6","32","7","5"
"75","GraphInfo 54 1237167118820360192 .txt","47","9","59","10","9"
"76","GraphInfo 55 1234573571726422016 .txt","64","12","241","13","12"
"77","GraphInfo 56 1234461652776574976 .txt","51","8","89","9","7"
"78","GraphInfo 57 1159652159798964224 .txt","42","12","29","13","12"
"79","GraphInfo 58 1230536125275467776 .txt","52","4","116","5","3"
"80","GraphInfo 59 1223780172937277440 .txt","71","19","55","20","19"
"81","GraphInfo 6 1263109814449778688 .txt","19","4","21","5","2"
"82","GraphInfo 60 1223297613769904128 .txt","89","5","261","6","5"
"83","GraphInfo 61 1224795417428332544 .txt","38","24","13","25","21"
"84","GraphInfo 62 1222471896723099648 .txt","38","6","33","7","6"
"85","GraphInfo 63 1221614243402792960 .txt","32","17","26","18","16"
"86","GraphInfo 64 1220672361512480768 .txt","19","16","2","17","15"
"87","GraphInfo 65 1264708841222045696 .txt","81","35","56","36","34"
"88","GraphInfo 66 1262368887938654208 .txt","34","1","86","2","1"
"89","GraphInfo 67 1257101690337144832 .txt","31","2","47","3","2"
"90","GraphInfo 68 1254888228160593920 .txt","28","9","47","10","8"
"91","GraphInfo 69 1252932862971707392 .txt","87","7","374","8","7"
"92","GraphInfo 7 1258954657474494464 .txt","61","15","46","16","14"
"93","GraphInfo 70 1252656981497860096 .txt","30","2","33","3","2"
"94","GraphInfo 71 1250924765331820544 .txt","16","0","20","1","0"
"95","GraphInfo 72 1248254992722558976 .txt","46","2","106","3","2"
"96","GraphInfo 73 1245137047188377600 .txt","43","3","46","4","3"
"97","GraphInfo 75 1242267620293804032 .txt","19","0","20","1","0"
"98","GraphInfo 77 1238883670108356608 .txt","44","12","47","13","12"
"99","GraphInfo 78 1233505993197314048 .txt","83","9","374","10","8"
"100","GraphInfo 79 1235323719050027008 .txt","88","21","125","22","21"
"101","GraphInfo 8 1267348093609050112 .txt","34","4","123","5","4"
"102","GraphInfo 80 1235386412112818176 .txt","49","18","37","19","16"
"103","GraphInfo 81 1233169609630588928 .txt","64","12","142","13","12"
"104","GraphInfo 82 1231042854014730240 .txt","24","2","25","3","0"
"105","GraphInfo 83 1265648147172339712 .txt","71","7","298","8","7"
"106","GraphInfo 84 720102224605638656 .txt","39","8","34","9","8"
"107","GraphInfo 85 1245950357605249024 .txt","33","5","39","6","5"
"108","GraphInfo 86 1243230232917786624 .txt","41","6","123","7","6"
"109","GraphInfo 87 1242109367903825920 .txt","31","4","52","5","4"
"110","GraphInfo 88 1236285940819038208 .txt","30","2","138","3","2"
"111","GraphInfo 89 1245656212261097472 .txt","27","18","8","19","14"
"112","GraphInfo 9 1265268439502991360 .txt","57","6","83","7","6"
"113","GraphInfo 90 1223188967950114816 .txt","26","8","27","9","8"
"114","GraphInfo 91 1220504916583682048 .txt","19","4","16","5","3"
"115","GraphInfo 92 1105289297396146176 .txt","36","4","40","5","4"
"116","GraphInfo 94 1237530812142088192 .txt","18","1","17","2","1"
"117","GraphInfo 95 1241659754109378560 .txt","78","5","83","6","5"
"118","GraphInfo 96 1234800840948535296 .txt","74","26","130","27","22"
"119","GraphInfo 97 1235624995281350656 .txt","74","1","263","2","1"
"120","GraphInfo 98 995638432318738432 .txt","48","6","200","7","6"
"121","GraphInfo 99 1105422618621067264 .txt","48","2","77","3","2"
